Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
1,Mahmoud Abdul-Rauf,PG,27,SAC,75,51,28.4,5.5,12.3,0.445,1.3,3.3,0.382,4.2,9,0.468,0.496,1.5,1.8,0.846,0.2,1.4,1.6,2.5,0.7,0.1,1.6,2.3,13.7,1996-97,FALSE
2,Shareef Abdur-Rahim,PF,20,VAN,80,71,35,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1,1,2.8,2.5,18.7,1996-97,FALSE
3,Rafael Addison,SF,32,CHH,41,3,8.7,1.2,3,0.402,0.2,0.5,0.4,1,2.5,0.402,0.434,0.5,0.7,0.786,0.5,0.6,1.1,0.8,0.2,0.1,0.4,1.3,3.1,1996-97,FALSE
4,Cory Alexander,PG,23,SAS,80,6,18.2,2.4,6.1,0.396,1.2,3.2,0.373,1.3,3,0.42,0.492,1.2,1.6,0.736,0.4,1.2,1.5,3.2,1,0.2,1.8,1.9,7.2,1996-97,FALSE
5,Jerome Allen,SG,24,TOT,76,1,12.4,1,2.9,0.353,0.4,1.2,0.323,0.6,1.7,0.375,0.421,0.6,0.9,0.583,0.3,1,1.3,2,0.4,0.1,0.9,1.1,3,1996-97,FALSE
5,Jerome Allen,SG,24,IND,51,1,13.6,1.1,2.9,0.388,0.5,1.2,0.39,0.7,1.7,0.386,0.466,0.5,0.9,0.574,0.3,1,1.3,2.1,0.5,0,1.1,1.3,3.2,1996-97,FALSE
5,Jerome Allen,SG,24,DEN,25,0,10,0.8,3,0.284,0.3,1.4,0.206,0.6,1.6,0.35,0.331,0.6,1,0.6,0.5,0.8,1.3,1.7,0.2,0.2,0.5,0.7,2.6,1996-97,FALSE
6,Ray Allen*,SG,21,MIL,82,81,30.9,4.8,11.1,0.43,1.4,3.6,0.393,3.3,7.4,0.448,0.494,2.5,3,0.823,1.2,2.8,4,2.6,0.9,0.1,1.8,2.7,13.4,1996-97,FALSE
7,Derrick Alston,C,24,ATL,2,0,5.5,0,2.5,0,0,0,,0,2.5,0,0,0,1,0,1.5,0.5,2,0,0,0,0,0,0,1996-97,FALSE
8,Ashraf Amaya,PF,25,WSB,31,0,4.6,0.4,1.3,0.3,0,0,1,0.4,1.3,0.282,0.313,0.5,0.9,0.536,0.6,1.1,1.7,0.1,0.2,0.1,0.3,0.9,1.3,1996-97,FALSE
